,avg_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.8414634056786138,me,thing,re,think,don,ve,good,could,peopl,ll,tri,question,had,might,someth,lot,scienc,realli,say,cours
1,-0.9076052185958391,product,scienc,busi,compani,scientist,team,engin,user,custom,machin_learn,project,develop,tool,manag,solut,build,ml,problem,requir,job
2,-0.9450747902989576,imag,train,network,layer,neural,input,neural_network,deep,output,generat,dataset,comput,loss,deep_learn,featur,object,architectur,weight,size,transform
3,-1.0110947066280076,distribut,sampl,variabl,probabl,test,point,linear,estim,random,regress,calcul,statist,paramet,observ,error,method,optim,problem,algorithm,equat
4,-1.0390480036501317,ai,system,human,research,comput,world,state,algorithm,inform,intellig,been,develop,bias,studi,technolog,may,were,artifici,peopl,decis
5,-1.0904311658474182,featur,predict,dataset,train,class,test,machin_learn,tree,algorithm,score,classifi,classif,metric,accuraci,label,valid,decis,evalu,method,split
6,-1.129407089648034,file,run,instal,python,api,command,project,packag,app,environ,contain,notebook,user,librari,step,github,applic,version,deploy,cloud
7,-1.1969300163642136,plot,visual,seri,time_seri,chart,analysi,dataset,show,forecast,price,year,averag,below,color,map,point,line,variabl,day,month
8,-1.4353346889150036,column,python,tabl,list,method,type,panda,row,object,datafram,name,queri,return,oper,call,sql,array,string,index,element
9,-1.6589869824428385,word,text,cluster,graph,languag,embed,node,similar,vector,sentenc,state,token,topic,algorithm,document,sequenc,action,task,gpt,nlp
