n_paragraphs,n_sections,FRE,title_len,art_len,0,1,2,3,4,5,6,7,8,9,2017,2018,2019,2020,2021,2022,top5,top10
5,4,46.95,31,2893,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
11,1,61.09,31,6713,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
26,4,45.49,58,9927,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
22,5,60.14,60,7089,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
72,1,48.94,60,10077,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
24,10,61.36,41,11738,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
9,7,40.01,36,5576,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
19,1,63.02,69,4656,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,2.0
24,3,53.31,50,6018,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,1,60.04,22,4632,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
20,8,57.0,66,11968,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2.0
11,2,60.24,56,4192,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
19,4,67.55,31,2596,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
34,5,55.64,44,6500,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
21,2,45.25,53,5377,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
15,1,66.98,130,6874,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
17,1,62.78,45,5308,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
28,13,48.13,21,17067,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
6,1,72.05,50,1452,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
27,1,51.78,133,6164,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
7,1,62.78,66,928,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
24,1,54.97,41,7129,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
18,9,74.49,32,3942,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
20,1,61.46,41,5553,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
18,6,69.92,58,2045,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
26,1,63.19,38,6251,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
22,4,57.3,48,2907,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
15,1,61.26,35,7298,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
34,3,52.19,37,10175,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
12,1,42.31,35,4590,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
6,1,71.75,53,1117,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,57.71,66,3237,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
46,1,24.58,71,12207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
58,3,73.17,79,8494,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
17,7,55.74,45,3079,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
15,1,43.73,137,3060,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0
9,1,71.65,21,3404,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
4,7,70.9,18,381,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
11,3,54.73,49,4622,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
13,1,30.4,71,5532,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
10,1,59.74,35,1678,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
54,3,73.68,29,8604,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
56,1,46.17,35,7715,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
27,1,60.95,15,7667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
8,1,51.48,54,4208,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
21,5,59.94,36,6085,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
8,1,46.78,25,2172,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
7,1,49.15,33,3962,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
8,1,50.5,66,11647,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
21,1,60.45,49,5648,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
15,4,69.41,44,1866,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
13,1,50.77,32,4241,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
12,1,54.32,54,3824,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
14,6,48.64,16,2906,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.0
8,1,58.01,26,3197,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
16,5,56.35,17,3640,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
65,16,75.1,48,7447,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,2.0
22,1,57.98,51,3997,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
20,5,79.19,35,5511,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
20,1,60.14,33,7852,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
25,1,82.75,84,4180,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
25,1,55.78,27,5622,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
12,1,71.04,47,4225,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
6,1,50.87,18,1353,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,1,58.82,60,6203,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
20,1,52.7,37,4709,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
6,1,67.99,14,1423,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
21,1,43.83,67,6062,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
34,8,51.58,84,8309,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
7,1,60.75,58,3008,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
32,1,45.25,21,6389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
23,1,51.28,88,11283,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2.0
57,1,52.6,93,23576,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2.0
9,1,55.68,92,7239,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
12,1,50.26,36,4653,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
6,1,32.6,24,5147,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
24,3,73.98,103,9301,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
34,14,59.23,28,7465,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
19,1,65.73,68,2885,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
10,1,70.13,29,2069,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
14,1,41.19,64,3151,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
11,1,69.01,45,2400,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
13,3,40.38,68,5171,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
38,1,63.19,32,5754,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
18,1,58.38,80,2919,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
32,1,54.22,48,7042,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
17,2,57.1,60,3312,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
17,2,23.46,53,6113,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,1,56.05,32,5286,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
12,3,62.48,58,3517,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
11,1,63.9,40,3101,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,50.77,16,2475,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1.0
13,4,46.4,46,3714,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
38,1,40.92,96,18452,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
27,1,70.94,46,5567,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,1.0
23,1,63.29,49,4182,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0
57,8,50.67,44,18866,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
13,2,54.12,55,2343,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
15,2,63.9,58,2328,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
33,1,60.04,64,10300,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
9,5,55.07,39,2384,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
23,1,62.27,15,3472,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
19,1,32.57,41,3719,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
6,1,71.24,67,2640,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
9,1,47.52,56,4029,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,44.17,61,5974,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,1,35.81,29,6784,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
35,5,56.18,41,10115,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
8,1,51.78,32,3208,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
20,1,37.0,21,7247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
5,1,53.55,30,649,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
8,1,53.92,85,4430,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
14,1,68.5,12,6392,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
16,1,26.1,22,6505,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
25,4,67.69,38,9010,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
13,2,63.39,47,4432,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,66.17,54,7452,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
28,3,61.46,78,7260,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
13,1,65.83,21,4153,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
11,3,44.24,61,2712,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
5,1,43.7,74,5745,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
42,1,65.93,38,4837,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
82,23,52.6,28,17884,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
20,1,63.8,25,3728,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
17,1,62.38,49,2437,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
30,10,61.77,26,8299,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
